#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 2 2 13 181.0 475.0 344.0 475.0
0 2 2 14 199.0 558.0 384.0 528.0
0 2 2 15 238.0 601.0 427.0 578.0
0 2 2 16 279.0 667.0 492.0 640.0
0 2 2 17 339.0 702.0 549.0 702.0
0 2 2 18 407.0 785.0 618.0 760.0
0 2 2 19 482.0 828.0 652.0 818.0
0 2 2 20 532.0 888.0 -1  -1 
0 2 2 21 584.0 945.0 -1  -1 
0 2 2 22 650.0 1004.0 -1  -1 
0 2 2 23 705.0 1031.0 -1  -1 
0 2 2 24 833.0 1021.0 -1  -1 
0 2 3 1 2.0 24.0 -1  -1 
0 2 3 2 4.0 46.0 -1  -1 
0 2 3 3 8.0 56.0 20.0 56.0
0 2 3 4 12.0 84.0 37.0 84.0
0 2 3 5 21.0 118.0 55.0 118.0
0 2 3 6 29.0 153.0 83.0 153.0
0 2 3 7 38.0 195.0 108.0 191.0
0 2 3 8 60.0 237.0 147.0 236.0
0 2 3 9 74.0 280.0 181.0 280.0
0 2 3 10 86.0 340.0 218.0 324.0
0 2 3 11 101.0 381.0 246.0 374.0
0 2 3 12 132.0 429.0 294.0 419.0
0 2 3 13 167.0 508.0 340.0 476.0
0 2 3 14 179.0 560.0 384.0 525.0
0 2 3 15 213.0 624.0 431.0 592.0
0 2 3 16 259.0 663.0 491.0 648.0
0 2 3 17 323.0 728.0 538.0 706.0
0 2 3 18 376.0 779.0 602.0 764.0
0 2 3 19 441.0 839.0 667.0 827.0
0 2 3 20 524.0 895.0 763.0 883.0
0 2 3 21 584.0 953.0 -1  -1 
0 2 3 22 627.0 1009.0 -1  -1 
0 2 3 23 675.0 1065.0 -1  -1 
0 2 3 24 720.0 1068.0 -1  -1 
0 2 4 1 2.0 24.0 -1  -1 
0 2 4 2 5.0 43.0 -1  -1 
0 2 4 3 8.0 57.0 23.0 57.0
0 2 4 4 14.0 84.0 32.0 84.0
0 2 4 5 18.0 117.0 50.0 117.0
0 2 4 6 26.0 152.0 75.0 152.0
0 2 4 7 35.0 201.0 97.0 191.0
0 2 4 8 48.0 236.0 125.0 236.0
0 2 4 9 69.0 277.0 160.0 277.0
0 2 4 10 84.0 345.0 197.0 320.0
0 2 4 11 102.0 389.0 230.0 370.0
0 2 4 12 127.0 422.0 273.0 419.0
0 2 4 13 158.0 512.0 325.0 476.0
0 2 4 14 174.0 571.0 366.0 523.0
0 2 4 15 208.0 614.0 407.0 587.0
0 2 4 16 268.0 671.0 465.0 641.0
0 2 4 17 343.0 724.0 525.0 697.0
0 2 4 18 397.0 785.0 591.0 761.0
0 2 4 19 470.0 834.0 650.0 813.0
0 2 4 20 538.0 892.0 713.0 883.0
0 2 4 21 601.0 949.0 -1  -1 
0 2 4 22 655.0 1016.0 -1  -1 
0 2 4 23 700.0 1067.0 -1  -1 
0 2 4 24 733.0 1063.0 -1  -1 
0 3 1 1 2.0 27.0 -1  -1 
0 3 1 2 4.0 47.0 -1  -1 
0 3 1 3 7.0 63.0 22.0 54.0
0 3 1 4 13.0 85.0 34.0 81.0
0 3 1 5 17.0 116.0 52.0 116.0
0 3 1 6 24.0 153.0 76.0 152.0
0 3 1 7 34.0 190.0 107.0 189.0
0 3 1 8 49.0 235.0 135.0 235.0
0 3 1 9 60.0 331.0 163.0 274.0
0 3 1 10 89.0 346.0 213.0 321.0
0 3 1 11 96.0 407.0 243.0 374.0
0 3 1 12 105.0 429.0 278.0 418.0
0 3 1 13 139.0 515.0 325.0 476.0
0 3 1 14 160.0 564.0 359.0 520.0
0 3 1 15 181.0 634.0 417.0 582.0
0 3 1 16 218.0 680.0 472.0 638.0
0 3 1 17 251.0 728.0 523.0 704.0
0 3 1 18 277.0 790.0 589.0 757.0
0 3 1 19 336.0 843.0 640.0 815.0
0 3 1 20 467.0 893.0 703.0 881.0
0 3 1 21 543.0 948.0 -1  -1 
0 3 1 22 594.0 1010.0 -1  -1 
0 3 1 23 630.0 1067.0 -1  -1 
0 3 1 24 676.0 1096.0 -1  -1 
0 3 1 25 706.0 1039.0 -1  -1 
0 3 2 1 2.0 25.0 -1  -1 
0 3 2 2 4.0 47.0 -1  -1 
0 3 2 3 8.0 56.0 22.0 54.0
0 3 2 4 12.0 85.0 36.0 84.0
0 3 2 5 19.0 117.0 58.0 117.0
0 3 2 6 23.0 156.0 81.0 153.0
0 3 2 7 31.0 195.0 106.0 191.0
0 3 2 8 45.0 237.0 141.0 232.0
0 3 2 9 84.0 326.0 175.0 289.0
0 3 2 10 113.0 359.0 205.0 321.0
0 3 2 11 134.0 392.0 252.0 384.0
0 3 2 12 165.0 440.0 290.0 420.0
0 3 2 13 201.0 510.0 332.0 471.0
0 3 2 14 241.0 592.0 375.0 531.0
0 3 2 15 273.0 626.0 416.0 590.0
0 3 2 16 313.0 689.0 472.0 640.0
0 3 2 17 359.0 727.0 536.0 711.0
0 3 2 18 400.0 799.0 596.0 765.0
0 3 2 19 440.0 849.0 657.0 828.0
0 3 2 20 487.0 900.0 731.0 880.0
0 3 2 21 521.0 959.0 -1  -1 
0 3 2 22 569.0 1015.0 -1  -1 
0 3 2 23 619.0 1069.0 -1  -1 
0 3 2 24 647.0 1095.0 -1  -1 
0 3 3 1 2.0 24.0 -1  -1 
0 3 3 2 5.0 49.0 -1  -1 
0 3 3 3 9.0 65.0 24.0 54.0
0 3 3 4 15.0 84.0 38.0 82.0
0 3 3 5 23.0 117.0 58.0 117.0
0 3 3 6 32.0 152.0 81.0 152.0
0 3 3 7 44.0 191.0 113.0 191.0
0 3 3 8 64.0 236.0 136.0 230.0
0 3 3 9 76.0 343.0 175.0 278.0
0 3 3 10 100.0 342.0 215.0 321.0
0 3 3 11 117.0 399.0 243.0 374.0
0 3 3 12 144.0 426.0 297.0 417.0
0 3 3 13 168.0 516.0 341.0 497.0
0 3 3 14 193.0 576.0 385.0 533.0
0 3 3 15 238.0 633.0 434.0 592.0
0 3 3 16 267.0 669.0 493.0 648.0
0 3 3 17 297.0 741.0 539.0 711.0
0 3 3 18 333.0 804.0 597.0 773.0
0 3 3 19 374.0 843.0 659.0 835.0
0 3 3 20 474.0 903.0 -1  -1 
0 3 3 21 539.0 954.0 -1  -1 
0 3 3 22 577.0 1009.0 -1  -1 
0 3 3 23 612.0 1069.0 -1  -1 
0 3 3 24 669.0 1102.0 -1  -1 
0 3 3 25 762.0 1070.0 -1  -1 
0 3 4 1 2.0 23.0 -1  -1 
0 3 4 2 5.0 46.0 -1  -1 
0 3 4 3 9.0 69.0 25.0 54.0
0 3 4 4 14.0 87.0 39.0 87.0
0 3 4 5 19.0 117.0 59.0 117.0
0 3 4 6 29.0 156.0 82.0 152.0
0 3 4 7 47.0 191.0 107.0 191.0
0 3 4 8 56.0 245.0 137.0 236.0
0 3 4 9 72.0 322.0 163.0 278.0
0 3 4 10 89.0 357.0 207.0 321.0
0 3 4 11 97.0 409.0 246.0 375.0
0 3 4 12 106.0 438.0 291.0 422.0
0 3 4 13 132.0 520.0 326.0 481.0
0 3 4 14 156.0 604.0 373.0 536.0
0 3 4 15 174.0 640.0 418.0 593.0
0 3 4 16 203.0 702.0 479.0 646.0
0 3 4 17 232.0 744.0 539.0 709.0
0 3 4 18 287.0 798.0 598.0 764.0
0 3 4 19 344.0 856.0 649.0 831.0
0 3 4 20 492.0 897.0 716.0 889.0
0 3 4 21 553.0 953.0 -1  -1 
0 3 4 22 590.0 1011.0 -1  -1 
0 3 4 23 627.0 1073.0 -1  -1 
0 3 4 24 657.0 1110.0 -1  -1 
0 3 4 25 711.0 1061.0 -1  -1 
0 4 1 1 2.0 23.0 -1  -1 
0 4 1 2 4.0 43.0 -1  -1 
0 4 1 3 8.0 56.0 22.0 54.0
0 4 1 4 13.0 86.0 33.0 86.0
0 4 1 5 18.0 119.0 53.0 116.0
0 4 1 6 25.0 156.0 74.0 153.0
0 4 1 7 32.0 194.0 93.0 191.0
0 4 1 8 44.0 235.0 121.0 233.0
0 4 1 9 66.0 302.0 155.0 279.0
0 4 1 10 84.0 341.0 197.0 323.0
0 4 1 11 103.0 392.0 239.0 384.0
0 4 1 12 136.0 445.0 274.0 423.0
0 4 1 13 153.0 508.0 324.0 483.0
0 4 1 14 177.0 585.0 371.0 529.0
0 4 1 15 199.0 622.0 423.0 584.0
0 4 1 16 221.0 685.0 481.0 641.0
0 4 1 17 238.0 721.0 539.0 699.0
0 4 1 18 287.0 791.0 590.0 762.0
0 4 1 19 338.0 835.0 666.0 822.0
0 4 1 20 529.0 891.0 731.0 879.0
0 4 1 21 576.0 950.0 -1  -1 
0 4 1 22 631.0 1011.0 -1  -1 
0 4 1 23 680.0 1068.0 -1  -1 
0 4 1 24 732.0 1081.0 -1  -1 
0 4 2 1 1.0 26.0 -1  -1 
0 4 2 2 4.0 45.0 -1  -1 
0 4 2 3 12.0 78.0 23.0 54.0
0 4 2 4 19.0 84.0 35.0 84.0
0 4 2 5 26.0 117.0 57.0 117.0
0 4 2 6 32.0 156.0 82.0 153.0
0 4 2 7 44.0 195.0 112.0 192.0
0 4 2 8 57.0 233.0 139.0 233.0
0 4 2 9 72.0 332.0 177.0 280.0
0 4 2 10 102.0 361.0 208.0 326.0
0 4 2 11 115.0 433.0 249.0 372.0
0 4 2 12 137.0 522.0 296.0 422.0
0 4 2 13 151.0 505.0 331.0 497.0
0 4 2 14 179.0 600.0 377.0 533.0
0 4 2 15 211.0 650.0 420.0 603.0
0 4 2 16 225.0 714.0 469.0 658.0
0 4 2 17 268.0 742.0 519.0 708.0
0 4 2 18 305.0 800.0 589.0 773.0
0 4 2 19 386.0 834.0 638.0 834.0
0 4 2 20 485.0 897.0 696.0 891.0
0 4 2 21 546.0 961.0 -1  -1 
0 4 2 22 629.0 1021.0 -1  -1 
0 4 2 23 674.0 1070.0 -1  -1 
0 4 2 24 717.0 1101.0 -1  -1 
0 4 3 1 1.0 25.0 -1  -1 
0 4 3 2 5.0 47.0 -1  -1 
0 4 3 3 10.0 56.0 22.0 56.0
0 4 3 4 18.0 87.0 32.0 85.0
0 4 3 5 27.0 117.0 56.0 117.0
0 4 3 6 37.0 150.0 79.0 150.0
0 4 3 7 56.0 193.0 103.0 192.0
0 4 3 8 79.0 265.0 131.0 233.0
0 4 3 9 94.0 333.0 178.0 280.0
0 4 3 10 126.0 374.0 203.0 324.0
0 4 3 11 153.0 417.0 244.0 385.0
0 4 3 12 177.0 534.0 288.0 434.0
0 4 3 13 209.0 505.0 328.0 478.0
0 4 3 14 231.0 615.0 376.0 539.0
0 4 3 15 273.0 670.0 435.0 594.0
0 4 3 16 311.0 697.0 480.0 652.0
0 4 3 17 334.0 748.0 544.0 708.0
0 4 3 18 388.0 807.0 597.0 763.0
0 4 3 19 421.0 854.0 650.0 837.0
0 4 3 20 528.0 910.0 697.0 895.0
0 4 3 21 561.0 958.0 -1  -1 
0 4 3 22 607.0 1019.0 -1  -1 
0 4 3 23 651.0 1079.0 -1  -1 
0 4 3 24 700.0 1107.0 -1  -1 
0 4 3 25 771.0 1034.0 -1  -1 
1 1 1 1 1.0 26.0 -1  -1 
1 1 1 2 4.0 51.0 -1  -1 
1 1 1 3 8.0 55.0 24.0 55.0
1 1 1 4 13.0 85.0 36.0 84.0
1 1 1 5 21.0 118.0 54.0 117.0
1 1 1 6 27.0 152.0 78.0 152.0
1 1 1 7 37.0 192.0 101.0 191.0
1 1 1 8 50.0 236.0 122.0 236.0
1 1 1 9 63.0 292.0 158.0 279.0
1 1 1 10 83.0 325.0 193.0 324.0
1 1 1 11 102.0 371.0 224.0 371.0
1 1 1 12 125.0 432.0 261.0 419.0
1 1 1 13 154.0 493.0 318.0 493.0
1 1 1 14 172.0 566.0 355.0 534.0
1 1 1 15 202.0 603.0 410.0 597.0
1 1 1 16 248.0 660.0 456.0 640.0
1 1 1 17 254.0 699.0 501.0 697.0
1 1 1 18 308.0 768.0 544.0 759.0
1 1 1 19 379.0 826.0 597.0 818.0
1 1 1 20 528.0 881.0 659.0 880.0
1 1 1 21 555.0 945.0 -1  -1 
1 1 1 22 607.0 1004.0 -1  -1 
1 1 1 23 704.0 1043.0 -1  -1 
1 1 1 24 774.0 1021.0 -1  -1 
1 1 2 1 2.0 25.0 -1  -1 
1 1 2 2 4.0 45.0 -1  -1 
1 1 2 3 8.0 72.0 23.0 55.0
1 1 2 4 14.0 81.0 36.0 81.0
1 1 2 5 22.0 117.0 53.0 117.0
1 1 2 6 31.0 152.0 76.0 152.0
1 1 2 7 43.0 191.0 100.0 191.0
1 1 2 8 54.0 238.0 128.0 238.0
1 1 2 9 70.0 316.0 159.0 276.0
1 1 2 10 91.0 338.0 194.0 322.0
1 1 2 11 105.0 402.0 226.0 375.0
1 1 2 12 134.0 438.0 272.0 418.0
1 1 2 13 149.0 494.0 316.0 476.0
1 1 2 14 178.0 574.0 355.0 529.0
1 1 2 15 205.0 624.0 409.0 581.0
1 1 2 16 238.0 661.0 460.0 635.0
1 1 2 17 243.0 719.0 513.0 701.0
1 1 2 18 283.0 776.0 577.0 756.0
1 1 2 19 4.0 829.0 4.0 818.0
1 1 2 20 507.0 898.0 687.0 898.0
1 1 2 21 565.0 946.0 756.0 939.0
1 1 2 22 619.0 1006.0 -1  -1 
1 1 2 23 663.0 1063.0 -1  -1 
1 1 2 24 721.0 1053.0 -1  -1 
1 1 3 1 2.0 24.0 -1  -1 
1 1 3 2 4.0 45.0 -1  -1 
1 1 3 3 9.0 56.0 20.0 53.0
1 1 3 4 14.0 87.0 33.0 82.0
1 1 3 5 20.0 117.0 54.0 117.0
1 1 3 6 27.0 156.0 80.0 151.0
1 1 3 7 42.0 190.0 108.0 190.0
1 1 3 8 71.0 236.0 132.0 232.0
1 1 3 9 85.0 322.0 162.0 274.0
1 1 3 10 96.0 346.0 198.0 324.0
1 1 3 11 113.0 388.0 240.0 373.0
1 1 3 12 136.0 426.0 284.0 418.0
