#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 2 3 20 276.0 902.0 -1  -1 
0 2 3 21 308.0 976.0 -1  -1 
0 2 3 22 337.0 1023.0 -1  -1 
0 2 3 23 359.0 1091.0 -1  -1 
0 2 3 24 440.0 1156.0 -1  -1 
0 2 3 25 456.0 1220.0 -1  -1 
0 2 3 26 570.0 1260.0 -1  -1 
0 2 3 27 670.0 1346.0 -1  -1 
0 2 3 28 968.0 1414.0 -1  -1 
0 2 3 29 1003.0 1389.0 -1  -1 
0 2 3 31 1552.0 1575.0 -1  -1 
0 3 4 2 6.0 40.0 -1  -1 
0 3 4 3 12.0 68.0 -1  -1 
0 3 4 4 18.0 87.0 20.0 85.0
0 3 4 5 25.0 123.0 59.0 116.0
0 3 4 6 33.0 158.0 81.0 155.0
0 3 4 7 45.0 191.0 106.0 191.0
0 3 4 8 60.0 236.0 129.0 236.0
0 3 4 9 72.0 279.0 156.0 279.0
0 3 4 10 87.0 326.0 189.0 326.0
0 3 4 11 104.0 371.0 227.0 371.0
0 3 4 12 119.0 416.0 271.0 416.0
0 3 4 13 143.0 469.0 353.0 468.0
0 3 4 14 163.0 526.0 395.0 518.0
0 3 4 15 194.0 583.0 452.0 571.0
0 3 4 16 219.0 629.0 -1  -1 
0 3 4 17 248.0 688.0 -1  -1 
0 3 4 18 300.0 747.0 -1  -1 
0 3 4 19 346.0 812.0 -1  -1 
0 3 4 20 389.0 874.0 -1  -1 
0 3 4 21 433.0 933.0 -1  -1 
0 3 4 22 491.0 1004.0 -1  -1 
0 3 4 23 525.0 1063.0 -1  -1 
0 3 4 24 564.0 1120.0 -1  -1 
0 3 4 25 816.0 1108.0 -1  -1 
0 3 4 26 1171.0 1188.0 -1  -1 
0 4 1 2 7.0 39.0 -1  -1 
0 4 1 3 4.0 58.0 -1  -1 
0 4 1 4 22.0 94.0 23.0 85.0
0 4 1 5 30.0 120.0 46.0 120.0
0 4 1 6 37.0 157.0 69.0 157.0
0 4 1 7 48.0 197.0 92.0 197.0
0 4 1 8 60.0 243.0 116.0 243.0
0 4 1 9 75.0 284.0 145.0 284.0
0 4 1 10 93.0 329.0 184.0 329.0
0 4 1 11 105.0 377.0 235.0 377.0
0 4 1 12 126.0 424.0 285.0 420.0
0 4 1 13 145.0 481.0 343.0 481.0
0 4 1 14 161.0 525.0 -1  -1 
0 4 1 15 187.0 590.0 -1  -1 
0 4 1 16 259.0 647.0 -1  -1 
0 4 1 17 294.0 697.0 -1  -1 
0 4 1 18 333.0 757.0 -1  -1 
0 4 1 19 364.0 807.0 -1  -1 
0 4 1 20 406.0 851.0 -1  -1 
0 4 1 21 437.0 912.0 -1  -1 
0 4 1 22 495.0 580.0 -1  -1 
0 4 2 2 6.0 36.0 -1  -1 
0 4 2 3 12.0 58.0 -1  -1 
0 4 2 4 19.0 88.0 19.0 86.0
0 4 2 5 28.0 128.0 55.0 118.0
0 4 2 6 36.0 160.0 78.0 153.0
0 4 2 7 46.0 200.0 105.0 192.0
0 4 2 8 59.0 243.0 132.0 235.0
0 4 2 9 74.0 290.0 164.0 276.0
0 4 2 10 89.0 335.0 199.0 322.0
0 4 2 11 107.0 377.0 244.0 365.0
0 4 2 12 132.0 425.0 286.0 418.0
0 4 2 13 154.0 471.0 337.0 465.0
0 4 2 14 183.0 529.0 391.0 522.0
0 4 2 15 216.0 596.0 450.0 577.0
0 4 2 16 245.0 634.0 -1  -1 
0 4 2 17 277.0 701.0 -1  -1 
0 4 2 18 303.0 762.0 -1  -1 
0 4 2 19 333.0 814.0 -1  -1 
0 4 2 20 375.0 873.0 -1  -1 
0 4 2 21 426.0 932.0 -1  -1 
0 4 2 22 478.0 990.0 -1  -1 
0 4 2 23 557.0 1014.0 -1  -1 
0 4 2 24 780.0 796.0 -1  -1 
0 4 3 2 6.0 49.0 -1  -1 
0 4 3 3 11.0 71.0 -1  -1 
0 4 3 4 17.0 91.0 18.0 87.0
0 4 3 5 25.0 122.0 50.0 118.0
0 4 3 6 33.0 166.0 69.0 154.0
0 4 3 7 43.0 199.0 94.0 199.0
0 4 3 8 53.0 243.0 123.0 243.0
0 4 3 9 68.0 286.0 155.0 286.0
0 4 3 10 82.0 330.0 185.0 330.0
0 4 3 11 94.0 379.0 226.0 379.0
0 4 3 12 116.0 432.0 274.0 432.0
0 4 3 13 140.0 480.0 340.0 480.0
0 4 3 14 157.0 535.0 385.0 532.0
0 4 3 15 184.0 590.0 463.0 589.0
0 4 3 16 202.0 659.0 -1  -1 
0 4 3 17 286.0 701.0 -1  -1 
0 4 3 18 345.0 765.0 -1  -1 
0 4 3 19 392.0 809.0 -1  -1 
0 4 3 20 443.0 890.0 -1  -1 
0 4 3 21 474.0 955.0 -1  -1 
0 4 3 22 533.0 941.0 -1  -1 
0 4 3 23 544.0 1049.0 -1  -1 
0 4 3 24 752.0 760.0 -1  -1 
1 1 1 2 6.0 40.0 -1  -1 
1 1 1 3 11.0 70.0 -1  -1 
1 1 1 4 17.0 85.0 18.0 83.0
1 1 1 5 24.0 123.0 55.0 115.0
1 1 1 6 34.0 152.0 74.0 152.0
1 1 1 7 44.0 194.0 93.0 194.0
1 1 1 8 53.0 230.0 115.0 230.0
1 1 1 9 65.0 277.0 149.0 277.0
1 1 1 10 82.0 324.0 188.0 324.0
1 1 1 11 98.0 371.0 226.0 367.0
1 1 1 12 108.0 419.0 265.0 419.0
1 1 1 13 126.0 473.0 314.0 465.0
1 1 1 14 138.0 519.0 350.0 519.0
1 1 1 15 162.0 581.0 406.0 571.0
1 1 1 16 190.0 634.0 450.0 628.0
1 1 1 17 224.0 684.0 510.0 684.0
1 1 1 18 251.0 746.0 572.0 746.0
1 1 1 19 282.0 814.0 -1  -1 
