#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 1 1 2 18.0 32.0 -1  -1 
0 1 1 3 21.0 65.0 -1  -1 
0 1 1 4 21.0 84.0 45.0 80.0
0 1 1 5 27.0 110.0 66.0 110.0
0 1 1 6 36.0 148.0 93.0 148.0
0 1 1 7 45.0 180.0 100.0 180.0
0 1 1 8 65.0 244.0 137.0 225.0
0 1 1 9 77.0 312.0 167.0 267.0
0 1 1 10 82.0 324.0 224.0 310.0
0 1 1 11 107.0 384.0 241.0 358.0
0 1 1 12 135.0 413.0 307.0 410.0
0 1 1 13 176.0 481.0 333.0 466.0
0 1 1 14 193.0 547.0 384.0 514.0
0 1 1 15 245.0 588.0 436.0 565.0
0 1 1 16 269.0 628.0 488.0 622.0
0 1 1 17 312.0 694.0 518.0 676.0
0 1 1 18 349.0 734.0 618.0 734.0
0 1 1 19 409.0 793.0 -1  -1 
0 1 1 20 418.0 872.0 -1  -1 
0 1 1 21 551.0 854.0 -1  -1 
0 1 2 1 3.0 23.0 -1  -1 
0 1 2 2 5.0 36.0 -1  -1 
0 1 2 3 8.0 56.0 28.0 51.0
0 1 2 4 14.0 90.0 38.0 82.0
0 1 2 5 19.0 123.0 57.0 123.0
0 1 2 6 24.0 150.0 79.0 149.0
0 1 2 7 36.0 192.0 98.0 182.0
0 1 2 8 57.0 240.0 141.0 228.0
0 1 2 9 76.0 329.0 168.0 271.0
0 1 2 10 107.0 348.0 216.0 318.0
0 1 2 11 121.0 394.0 253.0 361.0
0 1 2 12 147.0 431.0 306.0 416.0
0 1 2 13 177.0 507.0 345.0 472.0
0 1 2 14 219.0 554.0 407.0 516.0
0 1 2 15 249.0 591.0 450.0 578.0
0 1 2 16 291.0 672.0 499.0 625.0
0 1 2 17 326.0 698.0 557.0 683.0
0 1 2 18 367.0 743.0 597.0 737.0
0 1 2 19 411.0 798.0 -1  -1 
0 1 2 20 460.0 849.0 -1  -1 
0 1 2 21 672.0 892.0 -1  -1 
0 1 3 1 4.0 30.0 -1  -1 
0 1 3 2 5.0 37.0 -1  -1 
0 1 3 3 8.0 54.0 23.0 52.0
0 1 3 4 13.0 81.0 32.0 81.0
0 1 3 5 19.0 118.0 55.0 118.0
0 1 3 6 27.0 148.0 74.0 148.0
