#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
0 2 4 4 15.0 81.0 15.0 81.0
0 2 4 5 23.0 116.0 61.0 116.0
0 2 4 6 30.0 149.0 81.0 149.0
0 2 4 7 39.0 189.0 103.0 189.0
0 2 4 8 45.0 234.0 136.0 229.0
0 2 4 9 57.0 272.0 173.0 272.0
0 2 4 10 72.0 317.0 209.0 317.0
0 2 4 11 81.0 364.0 255.0 364.0
0 2 4 12 107.0 407.0 307.0 407.0
0 2 4 13 124.0 459.0 335.0 459.0
0 2 4 14 133.0 513.0 387.0 513.0
0 2 4 15 144.0 562.0 454.0 562.0
0 2 4 16 161.0 620.0 526.0 620.0
0 2 4 17 201.0 671.0 625.0 671.0
0 2 4 18 225.0 725.0 -1  -1 
0 2 4 19 238.0 764.0 -1  -1 
0 2 4 20 305.0 835.0 -1  -1 
0 2 4 21 326.0 901.0 -1  -1 
0 2 4 22 392.0 524.0 -1  -1 
0 3 1 2 6.0 35.0 -1  -1 
0 3 1 3 12.0 53.0 24.0 53.0
0 3 1 4 18.0 88.0 18.0 81.0
0 3 1 5 25.0 114.0 56.0 114.0
0 3 1 6 34.0 152.0 75.0 152.0
0 3 1 7 43.0 189.0 100.0 189.0
0 3 1 8 52.0 234.0 129.0 231.0
0 3 1 9 62.0 273.0 168.0 273.0
0 3 1 10 73.0 319.0 207.0 319.0
0 3 1 11 91.0 366.0 246.0 366.0
0 3 1 12 107.0 410.0 295.0 410.0
0 3 1 13 124.0 464.0 351.0 464.0
0 3 1 14 136.0 510.0 395.0 510.0
0 3 1 15 160.0 567.0 456.0 567.0
0 3 1 16 176.0 622.0 525.0 622.0
0 3 1 17 196.0 680.0 596.0 680.0
0 3 1 18 230.0 735.0 -1  -1 
0 3 1 19 261.0 795.0 -1  -1 
0 3 1 20 300.0 841.0 -1  -1 
0 3 1 21 370.0 907.0 -1  -1 
0 3 1 22 372.0 898.0 -1  -1 
0 3 1 23 515.0 553.0 -1  -1 
0 3 2 2 5.0 25.0 -1  -1 
0 3 2 3 11.0 50.0 23.0 44.0
0 3 2 4 16.0 77.0 16.0 68.0
0 3 2 5 21.0 108.0 47.0 101.0
0 3 2 6 28.0 139.0 58.0 131.0
0 3 2 7 36.0 176.0 73.0 171.0
0 3 2 8 43.0 216.0 111.0 209.0
0 3 2 9 53.0 256.0 140.0 250.0
0 3 2 10 63.0 300.0 171.0 288.0
0 3 2 11 82.0 342.0 207.0 334.0
0 3 2 12 96.0 389.0 242.0 383.0
0 3 2 13 106.0 437.0 292.0 426.0
0 3 2 14 118.0 484.0 334.0 471.0
0 3 2 15 134.0 539.0 390.0 526.0
0 3 2 16 146.0 577.0 426.0 577.0
0 3 2 17 170.0 640.0 451.0 628.0
0 3 2 18 198.0 699.0 525.0 699.0
0 3 2 19 209.0 761.0 -1  -1 
0 3 2 20 268.0 823.0 -1  -1 
0 3 2 21 283.0 877.0 -1  -1 
0 3 2 22 342.0 925.0 -1  -1 
0 3 2 23 353.0 518.0 -1  -1 
0 3 2 24 415.0 417.0 -1  -1 
0 3 3 2 7.0 30.0 -1  -1 
0 3 3 3 12.0 57.0 -1  -1 
0 3 3 4 19.0 83.0 21.0 82.0
0 3 3 5 27.0 119.0 56.0 117.0
0 3 3 6 34.0 154.0 73.0 152.0
0 3 3 7 43.0 188.0 124.0 186.0
0 3 3 8 53.0 241.0 146.0 231.0
0 3 3 9 64.0 273.0 185.0 273.0
0 3 3 10 76.0 324.0 213.0 318.0
0 3 3 11 91.0 366.0 292.0 360.0
0 3 3 12 100.0 423.0 320.0 407.0
0 3 3 13 112.0 468.0 -1  -1 
0 3 3 14 126.0 524.0 -1  -1 
0 3 3 15 145.0 574.0 -1  -1 
0 3 3 16 171.0 632.0 -1  -1 
0 3 3 17 193.0 710.0 -1  -1 
0 3 3 18 223.0 776.0 -1  -1 
0 3 3 19 241.0 842.0 -1  -1 
0 3 3 20 263.0 912.0 -1  -1 
0 3 3 21 384.0 932.0 -1  -1 
0 3 3 22 333.0 994.0 -1  -1 
0 3 3 23 445.0 682.0 -1  -1 
0 3 3 24 433.0 490.0 -1  -1 
0 3 4 1 2.0 23.0 -1  -1 
0 3 4 2 6.0 34.0 -1  -1 
0 3 4 3 10.0 59.0 -1  -1 
0 3 4 4 15.0 89.0 -1  -1 
0 3 4 5 25.0 117.0 -1  -1 
0 3 4 6 31.0 152.0 -1  -1 
0 3 4 7 40.0 191.0 -1  -1 
0 3 4 8 50.0 242.0 -1  -1 
0 3 4 9 60.0 281.0 -1  -1 
0 3 4 10 73.0 335.0 -1  -1 
0 3 4 11 82.0 372.0 -1  -1 
0 3 4 12 90.0 438.0 -1  -1 
0 3 4 13 102.0 475.0 -1  -1 
0 3 4 14 115.0 524.0 -1  -1 
0 3 4 15 142.0 579.0 -1  -1 
0 3 4 16 168.0 653.0 -1  -1 
0 3 4 17 191.0 699.0 -1  -1 
0 3 4 18 217.0 760.0 -1  -1 
0 3 4 19 236.0 844.0 -1  -1 
0 3 4 20 305.0 902.0 -1  -1 
0 3 4 21 344.0 931.0 -1  -1 
0 3 4 22 347.0 997.0 -1  -1 
0 3 4 23 387.0 641.0 -1  -1 
0 4 1 2 6.0 34.0 -1  -1 
0 4 1 3 14.0 53.0 26.0 53.0
0 4 1 4 20.0 84.0 20.0 80.0
0 4 1 5 27.0 114.0 49.0 114.0
0 4 1 6 37.0 146.0 66.0 146.0
0 4 1 7 44.0 184.0 88.0 184.0
0 4 1 8 57.0 233.0 115.0 227.0
0 4 1 9 66.0 270.0 155.0 270.0
0 4 1 10 79.0 315.0 187.0 315.0
0 4 1 11 92.0 359.0 232.0 359.0
0 4 1 12 105.0 402.0 278.0 402.0
0 4 1 13 118.0 457.0 320.0 457.0
0 4 1 14 133.0 504.0 368.0 504.0
0 4 1 15 149.0 559.0 427.0 559.0
0 4 1 16 167.0 616.0 478.0 616.0
0 4 1 17 183.0 673.0 541.0 673.0
0 4 1 18 200.0 726.0 615.0 726.0
0 4 1 19 221.0 781.0 -1  -1 
0 4 1 20 273.0 843.0 -1  -1 
0 4 1 21 305.0 850.0 -1  -1 
0 4 1 22 327.0 565.0 -1  -1 
0 4 1 23 395.0 414.0 -1  -1 
0 4 2 2 6.0 32.0 -1  -1 
0 4 2 3 12.0 54.0 23.0 54.0
0 4 2 4 19.0 81.0 19.0 80.0
0 4 2 5 28.0 114.0 49.0 114.0
0 4 2 6 35.0 148.0 67.0 148.0
0 4 2 7 46.0 187.0 92.0 187.0
0 4 2 8 58.0 232.0 122.0 232.0
0 4 2 9 71.0 271.0 158.0 271.0
0 4 2 10 83.0 312.0 193.0 312.0
0 4 2 11 94.0 361.0 236.0 361.0
0 4 2 12 102.0 406.0 275.0 406.0
0 4 2 13 116.0 455.0 318.0 455.0
0 4 2 14 135.0 507.0 375.0 507.0
0 4 2 15 146.0 558.0 433.0 558.0
0 4 2 16 176.0 616.0 488.0 613.0
0 4 2 17 201.0 675.0 550.0 675.0
0 4 2 18 242.0 728.0 621.0 728.0
0 4 2 19 277.0 792.0 721.0 792.0
0 4 2 20 309.0 852.0 -1  -1 
0 4 2 21 340.0 903.0 -1  -1 
0 4 2 22 353.0 954.0 -1  -1 
0 4 2 23 403.0 502.0 -1  -1 
0 4 3 2 5.0 29.0 -1  -1 
0 4 3 3 11.0 55.0 21.0 52.0
0 4 3 4 16.0 91.0 16.0 79.0
0 4 3 5 23.0 114.0 48.0 113.0
0 4 3 6 28.0 150.0 62.0 150.0
0 4 3 7 36.0 186.0 77.0 186.0
0 4 3 8 46.0 228.0 115.0 223.0
0 4 3 9 55.0 265.0 140.0 265.0
0 4 3 10 66.0 305.0 160.0 305.0
0 4 3 11 79.0 353.0 201.0 353.0
0 4 3 12 91.0 402.0 226.0 402.0
0 4 3 13 104.0 451.0 272.0 451.0
0 4 3 14 123.0 503.0 319.0 503.0
0 4 3 15 134.0 561.0 387.0 544.0
0 4 3 16 153.0 624.0 417.0 608.0
0 4 3 17 176.0 672.0 446.0 662.0
0 4 3 18 200.0 730.0 588.0 722.0
0 4 3 19 218.0 816.0 -1  -1 
0 4 3 20 273.0 861.0 -1  -1 
0 4 3 21 315.0 884.0 -1  -1 
0 4 3 22 333.0 881.0 -1  -1 
0 4 3 23 360.0 533.0 -1  -1 
0 4 4 1 2.0 25.0 -1  -1 
0 4 4 2 7.0 31.0 -1  -1 
0 4 4 3 12.0 58.0 -1  -1 
0 4 4 4 19.0 98.0 -1  -1 
0 4 4 5 29.0 130.0 -1  -1 
0 4 4 6 34.0 165.0 -1  -1 
0 4 4 7 61.0 202.0 -1  -1 
0 4 4 8 81.0 245.0 -1  -1 
0 4 4 9 98.0 290.0 -1  -1 
0 4 4 10 134.0 335.0 -1  -1 
0 4 4 11 171.0 391.0 -1  -1 
0 4 4 12 203.0 435.0 -1  -1 
0 4 4 13 222.0 502.0 -1  -1 
0 4 4 14 243.0 553.0 -1  -1 
0 4 4 15 273.0 601.0 -1  -1 
0 4 4 16 308.0 658.0 -1  -1 
0 4 4 17 343.0 740.0 -1  -1 
0 4 4 18 375.0 775.0 -1  -1 
0 4 4 19 417.0 838.0 -1  -1 
0 4 4 20 569.0 898.0 -1  -1 
0 4 4 21 629.0 969.0 -1  -1 
1 1 1 2 6.0 34.0 -1  -1 
1 1 1 3 11.0 56.0 11.0 54.0
1 1 1 4 16.0 82.0 16.0 82.0
1 1 1 5 25.0 117.0 49.0 117.0
1 1 1 6 30.0 149.0 60.0 149.0
1 1 1 7 39.0 186.0 79.0 185.0
1 1 1 8 48.0 226.0 96.0 226.0
1 1 1 9 56.0 273.0 125.0 273.0
1 1 1 10 69.0 319.0 154.0 319.0
1 1 1 11 82.0 362.0 225.0 362.0
1 1 1 12 94.0 412.0 283.0 412.0
1 1 1 13 105.0 463.0 317.0 463.0
1 1 1 14 120.0 520.0 358.0 520.0
1 1 1 15 136.0 570.0 429.0 570.0
1 1 1 16 159.0 630.0 -1  -1 
1 1 1 17 178.0 664.0 -1  -1 
1 1 1 18 202.0 733.0 -1  -1 
1 1 1 19 236.0 758.0 -1  -1 
1 1 1 20 279.0 835.0 -1  -1 
1 1 1 21 321.0 521.0 -1  -1 
1 1 1 22 333.0 363.0 -1  -1 
1 1 2 1 2.0 25.0 -1  -1 
1 1 2 2 6.0 33.0 -1  -1 
1 1 2 3 11.0 64.0 -1  -1 
1 1 2 4 19.0 83.0 -1  -1 
1 1 2 5 28.0 107.0 -1  -1 
1 1 2 6 37.0 151.0 -1  -1 
1 1 2 7 49.0 177.0 -1  -1 
1 1 2 8 61.0 236.0 -1  -1 
1 1 2 9 84.0 277.0 -1  -1 
1 1 2 10 99.0 331.0 -1  -1 
1 1 2 11 125.0 371.0 -1  -1 
1 1 2 12 149.0 419.0 -1  -1 
1 1 2 13 173.0 471.0 -1  -1 
1 1 2 14 195.0 519.0 -1  -1 
1 1 2 15 235.0 578.0 -1  -1 
1 1 2 16 264.0 634.0 -1  -1 
1 1 2 17 300.0 692.0 -1  -1 
1 1 2 18 333.0 737.0 -1  -1 
1 1 2 19 362.0 805.0 -1  -1 
1 1 2 20 422.0 865.0 -1  -1 
1 1 2 21 427.0 649.0 -1  -1 
1 1 2 22 521.0 664.0 -1  -1 
1 1 3 2 6.0 37.0 -1  -1 
1 1 3 3 10.0 57.0 -1  -1 
1 1 3 4 15.0 73.0 15.0 71.0
1 1 3 5 20.0 112.0 -1  -1 
1 1 3 6 26.0 153.0 93.0 153.0
1 1 3 7 34.0 192.0 110.0 192.0
1 1 3 8 44.0 233.0 152.0 233.0
1 1 3 9 69.0 282.0 196.0 282.0
