#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi2maxZid ESi1minAid ESi1maxZid
0 2 3 27 574.0 676.0 -1  -1 
0 2 3 28 556.0 819.0 -1  -1 
0 2 3 36 1137.0 1901.0 -1  -1 
0 3 4 2 7.0 44.0 -1  -1 
0 3 4 3 12.0 63.0 -1  -1 
0 3 4 4 18.0 88.0 19.0 83.0
0 3 4 5 25.0 117.0 58.0 114.0
0 3 4 6 34.0 153.0 81.0 153.0
0 3 4 7 44.0 188.0 104.0 188.0
0 3 4 8 58.0 233.0 126.0 233.0
0 3 4 9 70.0 280.0 157.0 275.0
0 3 4 10 85.0 321.0 185.0 321.0
0 3 4 11 104.0 366.0 224.0 366.0
0 3 4 12 122.0 415.0 268.0 415.0
0 3 4 13 144.0 466.0 351.0 465.0
0 3 4 14 165.0 505.0 398.0 505.0
0 3 4 15 195.0 560.0 449.0 560.0
0 3 4 16 222.0 619.0 -1  -1 
0 3 4 17 253.0 676.0 -1  -1 
0 3 4 18 311.0 724.0 -1  -1 
0 3 4 19 346.0 788.0 -1  -1 
0 3 4 20 411.0 850.0 -1  -1 
0 3 4 21 449.0 927.0 -1  -1 
0 3 4 22 567.0 980.0 -1  -1 
0 3 4 23 602.0 604.0 -1  -1 
0 3 4 24 831.0 833.0 -1  -1 
0 3 4 26 1052.0 1054.0 -1  -1 
0 4 1 2 7.0 46.0 -1  -1 
0 4 1 3 13.0 55.0 -1  -1 
0 4 1 4 21.0 84.0 23.0 84.0
0 4 1 5 29.0 117.0 45.0 117.0
0 4 1 6 36.0 158.0 67.0 158.0
0 4 1 7 48.0 192.0 91.0 192.0
0 4 1 8 59.0 236.0 117.0 236.0
0 4 1 9 77.0 276.0 148.0 276.0
0 4 1 10 93.0 329.0 181.0 329.0
0 4 1 11 110.0 370.0 236.0 370.0
0 4 1 12 126.0 414.0 286.0 414.0
0 4 1 13 144.0 480.0 347.0 463.0
0 4 1 14 163.0 498.0 -1  -1 
0 4 1 15 196.0 575.0 -1  -1 
0 4 1 16 272.0 574.0 -1  -1 
0 4 1 17 314.0 642.0 -1  -1 
0 4 1 18 337.0 600.0 -1  -1 
0 4 1 19 539.0 541.0 -1  -1 
0 4 1 20 476.0 622.0 -1  -1 
0 4 1 21 504.0 506.0 -1  -1 
0 4 2 2 7.0 35.0 -1  -1 
0 4 2 3 12.0 54.0 -1  -1 
0 4 2 4 19.0 82.0 19.0 82.0
0 4 2 5 27.0 125.0 55.0 118.0
0 4 2 6 35.0 156.0 77.0 154.0
0 4 2 7 45.0 192.0 104.0 192.0
0 4 2 8 58.0 232.0 133.0 232.0
0 4 2 9 74.0 274.0 163.0 274.0
0 4 2 10 91.0 314.0 200.0 314.0
0 4 2 11 112.0 368.0 245.0 368.0
0 4 2 12 135.0 408.0 289.0 408.0
0 4 2 13 158.0 458.0 342.0 456.0
0 4 2 14 182.0 514.0 398.0 514.0
0 4 2 15 218.0 564.0 473.0 563.0
0 4 2 16 250.0 609.0 -1  -1 
0 4 2 17 291.0 664.0 -1  -1 
0 4 2 18 318.0 608.0 -1  -1 
0 4 2 19 394.0 558.0 -1  -1 
0 4 2 20 474.0 842.0 -1  -1 
0 4 2 21 438.0 729.0 -1  -1 
0 4 2 22 489.0 527.0 -1  -1 
0 4 2 23 557.0 559.0 -1  -1 
0 4 2 24 625.0 1028.0 -1  -1 
0 4 3 2 6.0 43.0 -1  -1 
0 4 3 3 12.0 72.0 -1  -1 
0 4 3 4 17.0 93.0 18.0 88.0
0 4 3 5 26.0 121.0 51.0 118.0
0 4 3 6 33.0 154.0 68.0 154.0
0 4 3 7 41.0 198.0 94.0 198.0
0 4 3 8 53.0 243.0 122.0 243.0
0 4 3 9 65.0 289.0 156.0 289.0
0 4 3 10 83.0 327.0 186.0 327.0
0 4 3 11 95.0 374.0 225.0 374.0
0 4 3 12 114.0 422.0 270.0 422.0
0 4 3 13 138.0 478.0 335.0 478.0
0 4 3 14 161.0 526.0 390.0 526.0
0 4 3 15 185.0 582.0 473.0 582.0
0 4 3 16 217.0 621.0 -1  -1 
0 4 3 17 306.0 666.0 -1  -1 
0 4 3 18 396.0 744.0 -1  -1 
0 4 3 19 419.0 733.0 -1  -1 
0 4 3 20 488.0 873.0 -1  -1 
0 4 3 21 559.0 561.0 -1  -1 
0 4 3 22 563.0 565.0 -1  -1 
0 4 3 23 621.0 623.0 -1  -1 
1 1 1 2 6.0 49.0 -1  -1 
1 1 1 3 12.0 70.0 -1  -1 
1 1 1 4 17.0 82.0 17.0 82.0
1 1 1 5 26.0 119.0 51.0 117.0
1 1 1 6 33.0 152.0 71.0 152.0
1 1 1 7 43.0 193.0 94.0 193.0
1 1 1 8 52.0 231.0 115.0 231.0
1 1 1 9 64.0 278.0 148.0 276.0
1 1 1 10 80.0 321.0 185.0 321.0
1 1 1 11 97.0 365.0 225.0 365.0
1 1 1 12 108.0 419.0 263.0 414.0
1 1 1 13 122.0 470.0 307.0 470.0
1 1 1 14 139.0 515.0 351.0 515.0
1 1 1 15 160.0 568.0 403.0 568.0
1 1 1 16 190.0 625.0 451.0 625.0
1 1 1 17 225.0 682.0 507.0 682.0
1 1 1 18 251.0 743.0 569.0 735.0
1 1 1 19 286.0 798.0 -1  -1 
1 1 1 20 316.0 856.0 -1  -1 
1 1 1 21 353.0 927.0 -1  -1 
1 1 1 22 409.0 986.0 -1  -1 
1 1 1 23 457.0 1052.0 -1  -1 
1 1 1 24 511.0 1116.0 -1  -1 
1 1 1 25 546.0 1187.0 -1  -1 
1 1 1 26 575.0 1264.0 -1  -1 
1 1 1 27 610.0 1323.0 -1  -1 
1 1 1 28 634.0 1366.0 -1  -1 
1 1 1 29 674.0 1455.0 -1  -1 
1 1 1 30 701.0 1503.0 -1  -1 
1 1 1 31 730.0 1582.0 -1  -1 
1 1 1 32 779.0 1291.0 -1  -1 
1 1 1 33 806.0 1585.0 -1  -1 
1 1 1 34 853.0 1655.0 -1  -1 
1 1 1 35 1691.0 1693.0 -1  -1 
1 1 1 36 1001.0 1976.0 -1  -1 
1 1 2 2 30.0 42.0 -1  -1 
1 1 2 3 36.0 58.0 -1  -1 
1 1 2 4 46.0 93.0 -1  -1 
1 1 2 5 63.0 118.0 -1  -1 
1 1 2 6 79.0 158.0 -1  -1 
1 1 2 7 100.0 198.0 -1  -1 
1 1 2 8 124.0 238.0 -1  -1 
1 1 2 9 150.0 285.0 -1  -1 
1 1 2 10 178.0 325.0 -1  -1 
1 1 2 11 207.0 382.0 -1  -1 
1 1 2 12 236.0 438.0 -1  -1 
1 1 2 13 267.0 485.0 -1  -1 
1 1 2 14 304.0 547.0 -1  -1 
1 1 2 15 337.0 584.0 -1  -1 
1 1 2 16 377.0 640.0 -1  -1 
1 1 2 17 413.0 703.0 -1  -1 
1 1 2 18 460.0 752.0 -1  -1 
1 1 2 19 503.0 822.0 -1  -1 
1 1 2 20 548.0 884.0 -1  -1 
1 1 2 21 605.0 947.0 -1  -1 
1 1 2 22 646.0 1003.0 -1  -1 
1 1 2 23 694.0 1080.0 -1  -1 
1 1 2 24 753.0 1147.0 -1  -1 
1 1 2 25 796.0 1202.0 -1  -1 
1 1 2 26 849.0 1269.0 -1  -1 
1 1 2 27 900.0 1339.0 -1  -1 
1 1 2 28 971.0 1400.0 -1  -1 
1 1 2 29 1026.0 1459.0 -1  -1 
1 1 2 30 1092.0 1524.0 -1  -1 
1 1 2 31 1178.0 1582.0 -1  -1 
1 1 2 32 1209.0 1636.0 -1  -1 
1 1 2 33 1277.0 1685.0 -1  -1 
1 1 2 34 1676.0 1770.0 -1  -1 
1 1 2 35 1620.0 1825.0 -1  -1 
1 1 2 36 1470.0 1749.0 -1  -1 
1 1 4 2 7.0 41.0 -1  -1 
1 1 4 3 12.0 65.0 26.0 55.0
1 1 4 4 20.0 88.0 21.0 82.0
1 1 4 5 30.0 116.0 47.0 116.0
1 1 4 6 39.0 153.0 70.0 153.0
1 1 4 7 48.0 191.0 99.0 191.0
1 1 4 8 61.0 232.0 127.0 232.0
1 1 4 9 82.0 279.0 162.0 279.0
1 1 4 10 98.0 321.0 199.0 321.0
1 1 4 11 119.0 368.0 239.0 367.0
1 1 4 12 147.0 418.0 280.0 416.0
1 1 4 13 172.0 469.0 328.0 466.0
1 1 4 14 195.0 516.0 377.0 516.0
1 1 4 15 231.0 577.0 434.0 577.0
1 1 4 16 264.0 625.0 482.0 621.0
1 1 4 17 304.0 684.0 -1  -1 
1 1 4 18 347.0 747.0 -1  -1 
1 1 4 19 389.0 800.0 -1  -1 
1 1 4 20 434.0 868.0 -1  -1 
1 1 4 21 467.0 938.0 -1  -1 
1 1 4 22 514.0 996.0 -1  -1 
1 1 4 23 567.0 1055.0 -1  -1 
1 1 4 24 624.0 1130.0 -1  -1 
1 1 4 25 668.0 1185.0 -1  -1 
1 1 4 26 732.0 1260.0 -1  -1 
1 1 4 27 790.0 1336.0 -1  -1 
1 1 4 28 843.0 1392.0 -1  -1 
1 1 4 29 913.0 1460.0 -1  -1 
1 1 4 30 953.0 1529.0 -1  -1 
1 1 4 31 1007.0 1528.0 -1  -1 
1 1 4 32 1211.0 1600.0 -1  -1 
1 1 4 33 1268.0 1616.0 -1  -1 
1 1 4 34 1269.0 1271.0 -1  -1 
1 1 4 36 1258.0 1981.0 -1  -1 
1 3 3 2 7.0 48.0 -1  -1 
1 3 3 3 13.0 75.0 20.0 57.0
1 3 3 4 19.0 94.0 23.0 87.0
1 3 3 5 29.0 123.0 45.0 123.0
1 3 3 6 39.0 159.0 66.0 159.0
1 3 3 7 48.0 207.0 88.0 207.0
1 3 3 8 60.0 244.0 115.0 244.0
1 3 3 9 75.0 295.0 146.0 295.0
1 3 3 10 88.0 343.0 181.0 343.0
1 3 3 11 104.0 395.0 225.0 395.0
1 3 3 12 122.0 445.0 275.0 445.0
1 3 3 13 142.0 500.0 323.0 500.0
1 3 3 14 164.0 559.0 368.0 553.0
1 3 3 15 190.0 618.0 421.0 617.0
1 3 3 16 210.0 679.0 476.0 678.0
1 3 3 17 234.0 738.0 -1  -1 
1 3 3 18 268.0 798.0 -1  -1 
1 3 3 19 294.0 859.0 -1  -1 
1 3 3 20 330.0 922.0 -1  -1 
1 3 3 21 370.0 993.0 -1  -1 
1 3 3 22 410.0 1062.0 -1  -1 
1 3 3 23 449.0 1143.0 -1  -1 
1 3 3 24 490.0 1198.0 -1  -1 
1 3 3 25 530.0 1268.0 -1  -1 
1 3 3 26 566.0 1345.0 -1  -1 
1 3 3 27 603.0 1419.0 -1  -1 
1 3 3 28 642.0 1489.0 -1  -1 
1 3 3 29 683.0 1571.0 -1  -1 
1 3 3 30 720.0 1638.0 -1  -1 
1 3 3 31 765.0 1712.0 -1  -1 
1 3 3 32 808.0 1785.0 -1  -1 
1 3 3 33 851.0 1858.0 -1  -1 
1 3 3 34 903.0 1934.0 -1  -1 
1 3 3 35 945.0 1999.0 -1  -1 
1 3 3 36 984.0 1995.0 -1  -1 
1 3 3 37 1031.0 1866.0 -1  -1 
1 3 4 2 5.0 45.0 -1  -1 
1 3 4 3 12.0 65.0 20.0 54.0
1 3 4 4 18.0 83.0 22.0 83.0
1 3 4 5 27.0 116.0 52.0 116.0
1 3 4 6 34.0 150.0 70.0 150.0
1 3 4 7 42.0 190.0 95.0 190.0
1 3 4 8 55.0 234.0 115.0 234.0
1 3 4 9 65.0 274.0 144.0 274.0
1 3 4 10 81.0 320.0 180.0 320.0
1 3 4 11 94.0 366.0 223.0 366.0
1 3 4 12 107.0 419.0 261.0 419.0
1 3 4 13 123.0 469.0 301.0 469.0
1 3 4 14 151.0 519.0 345.0 519.0
1 3 4 15 172.0 574.0 393.0 574.0
1 3 4 16 195.0 630.0 430.0 630.0
1 3 4 17 225.0 693.0 481.0 689.0
1 3 4 18 257.0 750.0 530.0 750.0
1 3 4 19 280.0 800.0 587.0 800.0
1 3 4 20 312.0 877.0 -1  -1 
1 3 4 21 340.0 930.0 -1  -1 
1 3 4 22 367.0 1001.0 -1  -1 
1 3 4 23 414.0 1061.0 -1  -1 
1 3 4 24 449.0 1125.0 -1  -1 
1 3 4 25 483.0 1201.0 -1  -1 
1 3 4 26 527.0 1260.0 -1  -1 
1 3 4 27 571.0 1328.0 -1  -1 
1 3 4 28 611.0 1406.0 -1  -1 
1 3 4 29 644.0 1473.0 -1  -1 
1 3 4 30 680.0 1545.0 -1  -1 
1 3 4 31 719.0 1602.0 -1  -1 
1 3 4 32 754.0 1673.0 -1  -1 
1 3 4 33 788.0 1733.0 -1  -1 
1 3 4 34 834.0 1797.0 -1  -1 
1 3 4 35 866.0 1842.0 -1  -1 
1 3 4 36 911.0 1961.0 -1  -1 
1 3 4 37 964.0 1547.0 -1  -1 
1 4 1 2 7.0 48.0 -1  -1 
1 4 1 3 12.0 65.0 23.0 56.0
1 4 1 4 20.0 84.0 20.0 84.0
1 4 1 5 28.0 123.0 48.0 115.0
