1	8	265	433
2	7	284	0
2	8	316	587
3	7	316	512
3	8	367	665
4	7	237	371
4	8	390	610
5	7	237	410
5	8	241	363
6	7	261	461
6	8	316	512
7	7	288	441
7	8	312	535
8	7	233	390
8	8	265	367
9	7	265	441
9	8	241	445
10	7	269	484
10	8	312	581
11	7	255	404
11	8	334	538
12	7	298	569
13	7	192	330
13	8	188	330
14	7	385	636
14	8	259	373
15	7	585	290
15	8	263	416
16	7	267	443
17	7	286	459
18	7	263	467
18	8	283	577
19	7	267	436
19	8	286	408
20	7	232	385
20	8	279	491
21	7	283	0
21	8	290	459
22	8	239	463
23	7	267	416
23	8	338	608
24	7	290	514
24	8	255	408
