1	5	140	500
1	6	200	520
1	7	0	0
1	8	170	470
2	5	0	0
2	6	160	480
2	7	230	660
2	8	200	400
3	5	160	540
3	6	220	224
3	7	204	600
3	8	280	530
4	5	155	300
4	6	164	0
4	7	140	400
4	8	204	666
5	5	0	0
5	6	0	0
5	7	200	420
5	8	190	870
6	5	0	0
6	6	150	470
6	7	174	460
6	8	190	570
7	5	0	0
7	6	216	570
7	7	234	860
7	8	132	430
8	5	0	0
8	6	176	570
8	7	180	550
8	8	158	490
9	5	0	0
9	6	222	680
9	7	200	540
9	8	346	570
10	5	160	0
10	6	180	330
10	7	242	830
10	8	260	540
11	5	0	0
11	6	190	558
11	7	160	700
11	8	224	838
12	5	0	0
12	6	170	606
12	7	162	296
12	8	0	0
13	5	100	356
13	6	90	332
13	7	110	266
13	8	118	264
14	5	120	494
14	6	438	520
14	7	346	838
14	8	174	414
15	5	140	368
15	6	0	0
15	7	202	800
15	8	170	436
16	5	132	530
16	6	100	464
16	7	144	500
16	8	0	0
17	5	144	456
17	6	156	524
17	7	170	580
17	8	0	0
18	5	0	0
18	6	150	510
18	7	168	424
18	8	220	502
19	5	0	0
19	6	160	490
19	7	166	454
19	8	172	520
20	5	136	0
20	6	200	614
20	7	142	500
20	8	210	586
21	5	0	0
21	6	152	370
21	7	164	808
21	8	202	478
22	5	152	500
22	6	150	886
22	7	0	0
22	8	196	840
23	5	0	0
23	6	116	416
23	7	184	622
23	8	244	500
24	5	150	450
24	6	150	418
24	7	156	688
24	8	200	530
